Case.Num,YEAR,Species,Popn,Food,Mom,ID,UniID,Temp,Mi,Mf,Active,Duration,mgain
341,1999,Pieris_rapae,Seattle_WA,LEAF,25,16_1,M25.16_1,11,15.85,18.93,Y,9.466666667,3.08
342,1999,Pieris_rapae,Seattle_WA,LEAF,25,16_2,M25.16_2,11,14.3,14.92,Y,9.466666667,0.62
343,1999,Pieris_rapae,Seattle_WA,LEAF,25,16_3,M25.16_3,11,10.54,10.71,N,9.466666667,0.17
344,1999,Pieris_rapae,Seattle_WA,LEAF,25,16_4,M25.16_4,11,17.53,17.14,N,9.466666667,-0.39
345,1999,Pieris_rapae,Seattle_WA,LEAF,25,16_5,M25.16_5,11,13.06,12.83,N,9.466666667,-0.23
346,1999,Pieris_rapae,Seattle_WA,LEAF,21,18_1,M21.18_1,11,11.44,12.65,Y,9.466666667,1.21
347,1999,Pieris_rapae,Seattle_WA,LEAF,21,18_2,M21.18_2,11,11.07,11.78,Y,9.466666667,0.71
348,1999,Pieris_rapae,Seattle_WA,LEAF,21,18_4,M21.18_4,11,8.52,8.89,Y,9.466666667,0.37
349,1999,Pieris_rapae,Seattle_WA,LEAF,4,11,M4.11,11,12.32,13.79,Y,9.466666667,1.47
350,1999,Pieris_rapae,Seattle_WA,LEAF,4,11,M4.11,11,10.42,12.17,Y,9.466666667,1.75
351,1999,Pieris_rapae,Seattle_WA,LEAF,NA,1,MNA.1,11,11.45,12.76,Y,9.466666667,1.31
352,1999,Pieris_rapae,Seattle_WA,LEAF,NA,2,MNA.2,11,9.53,9.97,Y,9.466666667,0.44
353,1999,Pieris_rapae,Seattle_WA,LEAF,21,1,M21.1,11,9.87,10.86,Y,9.466666667,0.99
354,1999,Pieris_rapae,Seattle_WA,LEAF,21,2,M21.2,11,13.14,14.09,Y,9.466666667,0.95
355,1999,Pieris_rapae,Seattle_WA,LEAF,21,3,M21.3,11,11.22,13.03,Y,9.466666667,1.81
356,1999,Pieris_rapae,Seattle_WA,LEAF,21,4,M21.4,11,13.22,14.37,Y,9.466666667,1.15
357,1999,Pieris_rapae,Seattle_WA,LEAF,21,5,M21.5,11,15.32,17.83,Y,9.466666667,2.51
358,1999,Pieris_rapae,Seattle_WA,LEAF,21,6,M21.6,11,13.77,16.23,Y,9.466666667,2.46
359,1999,Pieris_rapae,Seattle_WA,LEAF,8,1,M8.1,11,10.28,10.24,N,9.466666667,-0.04
360,1999,Pieris_rapae,Seattle_WA,LEAF,5,1,M5.1,17,10.14,12.01,Y,6.55,1.87
361,1999,Pieris_rapae,Seattle_WA,LEAF,26,2,M26.2,17,14.39,14.78,Y,6.55,0.39
362,1999,Pieris_rapae,Seattle_WA,LEAF,25,3,M25.3,17,11.85,11.5,Y,6.55,-0.35
363,1999,Pieris_rapae,Seattle_WA,LEAF,21,4,M21.4,17,15.62,19.16,Y,6.55,3.54
364,1999,Pieris_rapae,Seattle_WA,LEAF,28,5,M28.5,17,15.54,17.42,Y,6.55,1.88
365,1999,Pieris_rapae,Seattle_WA,LEAF,28,6,M28.6,17,14.25,15.12,Y,6.55,0.87
366,1999,Pieris_rapae,Seattle_WA,LEAF,17,8,M17.8,17,11.83,12.84,Y,6.55,1.01
367,1999,Pieris_rapae,Seattle_WA,LEAF,17,9,M17.9,17,12.85,15.22,Y,6.55,2.37
368,1999,Pieris_rapae,Seattle_WA,LEAF,4,10,M4.10,17,13.43,14.29,Y,6.55,0.86
369,1999,Pieris_rapae,Seattle_WA,LEAF,9,11,M9.11,17,13.61,16.67,Y,6.55,3.06
370,1999,Pieris_rapae,Seattle_WA,LEAF,9,12,M9.12,17,11.29,11.84,Y,6.55,0.55
371,1999,Pieris_rapae,Seattle_WA,LEAF,22,13,M22.13,17,13.21,16.64,Y,6.55,3.43
372,1999,Pieris_rapae,Seattle_WA,LEAF,9,14,M9.14,17,13.62,14.69,Y,6.55,1.07
373,1999,Pieris_rapae,Seattle_WA,LEAF,7,15,M7.15,17,13.2,16.66,Y,6.55,3.46
374,1999,Pieris_rapae,Seattle_WA,LEAF,26,1,M26.1,23,17.27,23.45,Y,6.016666667,6.18
375,1999,Pieris_rapae,Seattle_WA,LEAF,25,2,M25.2,23,15.63,21.57,Y,6.016666667,5.94
376,1999,Pieris_rapae,Seattle_WA,LEAF,25,3,M25.3,23,15.95,20.7,Y,6.016666667,4.75
377,1999,Pieris_rapae,Seattle_WA,LEAF,28,5,M28.5,23,16.48,22.74,Y,6.016666667,6.26
378,1999,Pieris_rapae,Seattle_WA,LEAF,21,6,M21.6,23,15.31,19.99,Y,6.016666667,4.68
379,1999,Pieris_rapae,Seattle_WA,LEAF,28,7,M28.7,23,15.54,19.98,Y,6.016666667,4.44
380,1999,Pieris_rapae,Seattle_WA,LEAF,1,8,M1.8,23,17.71,23.56,Y,6.016666667,5.85
381,1999,Pieris_rapae,Seattle_WA,LEAF,17,9,M17.9,23,13.22,15.72,Y,6.016666667,2.5
382,1999,Pieris_rapae,Seattle_WA,LEAF,4,11,M4.11,23,11.42,14.28,Y,6.016666667,2.86
383,1999,Pieris_rapae,Seattle_WA,LEAF,9,12,M9.12,23,11.03,14.39,Y,6.016666667,3.36
384,1999,Pieris_rapae,Seattle_WA,LEAF,22,13,M22.13,23,10.64,13.97,Y,6.016666667,3.33
385,1999,Pieris_rapae,Seattle_WA,LEAF,22,14,M22.14,23,12.26,16,Y,6.016666667,3.74
386,1999,Pieris_rapae,Seattle_WA,LEAF,7,15,M7.15,23,14.19,17.84,Y,6.016666667,3.65
387,1999,Pieris_rapae,Seattle_WA,LEAF,14,1,M14.1,29,12.22,11.46,N,6.1,-0.76
388,1999,Pieris_rapae,Seattle_WA,LEAF,23,2,M23.2,29,13.6,20.45,Y,6.1,6.85
389,1999,Pieris_rapae,Seattle_WA,LEAF,18,3,M18.3,29,13.28,17.41,Y,6.1,4.13
390,1999,Pieris_rapae,Seattle_WA,LEAF,18,4,M18.4,29,16.11,24.65,Y,6.1,8.54
391,1999,Pieris_rapae,Seattle_WA,LEAF,9,5,M9.5,29,14.7,20.24,Y,6.1,5.54
392,1999,Pieris_rapae,Seattle_WA,LEAF,9,6,M9.6,29,15.09,20.73,Y,6.1,5.64
393,1999,Pieris_rapae,Seattle_WA,LEAF,9,7,M9.7,29,13.69,17.84,Y,6.1,4.15
394,1999,Pieris_rapae,Seattle_WA,LEAF,9,8,M9.8,29,14.15,20.67,Y,6.1,6.52
395,1999,Pieris_rapae,Seattle_WA,LEAF,9,9,M9.9,29,15.92,23.25,Y,6.1,7.33
396,1999,Pieris_rapae,Seattle_WA,LEAF,9,10,M9.10,29,15.25,22.63,Y,6.1,7.38
397,1999,Pieris_rapae,Seattle_WA,LEAF,7,11,M7.11,29,8.83,11.1,Y,6.1,2.27
398,1999,Pieris_rapae,Seattle_WA,LEAF,7,12,M7.12,29,13.56,17.62,Y,6.1,4.06
399,1999,Pieris_rapae,Seattle_WA,LEAF,7,13,M7.13,29,11.07,11.13,Y,6.1,0.06
