LFEM_data- (8)
Below is the data for Univ. of Wash.(Urb.Hort.),,,,,,,,,,
 Pseudo-Julian-Date,Date,Time,Temperature,Dewpoint,Relhum,Speed,Gust,Direction,Pressure,Solar
2460489.7680556,2024-06-27,18:26,52.000000,49.300000,88.0,0.000000,0.000000,0,1016.6,0.0
2460489.7687500,2024-06-27,18:27,55.000000,53.400000,91.0,3.100000,4.700000,18,1014.7,107.9
2460489.7694444,2024-06-27,18:28,55.000000,53.200000,91.0,2.900000,4.900000,31,1014.7,104.4
2460489.7701389,2024-06-27,18:29,55.000000,53.400000,91.0,2.100000,4.100000,36,1014.6,103.6
2460489.7708333,2024-06-27,18:30,55.000000,53.400000,91.0,4.700000,7.600000,19,1014.6,106.0
2460489.7715278,2024-06-27,18:31,55.000000,53.100000,91.0,5.100000,6.600000,27,1014.6,110.2
2460489.7722222,2024-06-27,18:32,55.000000,53.100000,91.0,3.100000,5.100000,41,1014.6,115.0
2460489.7729167,2024-06-27,18:33,55.000000,53.200000,91.0,2.900000,3.900000,5,1014.6,123.0
2460489.7736111,2024-06-27,18:34,55.000000,53.200000,92.0,2.500000,4.300000,34,1014.6,137.2
2460489.7743056,2024-06-27,18:35,55.000000,53.400000,92.0,3.300000,4.900000,50,1014.7,157.2
2460489.7750000,2024-06-27,18:36,55.000000,53.400000,92.0,4.700000,8.200000,37,1014.7,165.1
2460489.7756944,2024-06-27,18:37,55.000000,53.600000,92.0,2.900000,5.800000,54,1014.7,159.7
2460489.7763889,2024-06-27,18:38,55.000000,53.600000,92.0,3.300000,5.200000,24,1014.7,151.9
2460489.7770833,2024-06-27,18:39,55.000000,53.600000,92.0,1.400000,2.500000,12,1014.7,151.2
2460489.7777778,2024-06-27,18:40,55.000000,53.600000,92.0,1.200000,5.200000,40,1014.7,158.0
2460489.7784722,2024-06-27,18:41,55.000000,53.800000,92.0,1.400000,2.500000,64,1014.8,164.2
