"","UniID","mom","ID","temp","active","instar","time","duration","mgain","rgrlog","rgrarith","time.per","dur","durbin"
"1","11.1.1","1",1,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"2","11.1.1","1",1,11,"y",4,NA,6,0.32,0.00242053614018249,0.0533333333333334,"current",6,6
"3","11.1.1","1",1,11,"y",4,NA,24,2.5,0.00426342241898002,0.104166666666667,"current",24,24
"4","11.1.2","1",2,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"5","11.1.2","1",2,11,"y",4,NA,6,2.05,0.0127423521968667,0.341666666666667,"current",6,6
"6","11.1.2","1",2,11,"y",4,NA,24,4.23,0.00605222180979597,0.17625,"current",24,24
"7","11.1.3","1",3,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"8","11.1.3","1",3,11,"y",4,NA,6,1.43,0.00822693580491674,0.238333333333333,"current",6,6
"9","11.1.3","1",3,11,"y",4,NA,24,2.44,0.00338027405527759,0.101666666666667,"current",24,24
"10","11.1.4","1",4,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"11","11.1.4","1",4,11,"n",4,NA,6,0,0,0,"current",6,6
"12","11.1.4","1",4,11,"y",4,NA,24,1.88,0.00315796591543269,0.0783333333333334,"current",24,24
"13","11.1.5","1",5,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"14","11.1.5","1",5,11,"y",4,NA,6,0.540000000000001,0.00303747001769983,0.0900000000000001,"current",6,6
"15","11.1.5","1",5,11,"y",4,NA,24,4.17,0.00517343822868845,0.17375,"current",24,24
"16","11.2.1","2",1,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"17","11.2.1","2",1,11,"y",4,NA,6,2.86,0.0133938101123649,0.476666666666667,"current",6,6
"18","11.2.1","2",1,11,"y",4,NA,24,8.57,0.00860759687839533,0.357083333333333,"current",24,24
"19","11.2.2","2",2,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"20","11.2.2","2",2,11,"y",4,NA,6,0.92,0.00652023917097431,0.153333333333333,"current",6,6
"21","11.2.2","2",2,11,"y",4,NA,24,3.3,0.00527055663634847,0.1375,"current",24,24
"22","11.2.3","2",3,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"23","11.2.3","2",3,11,"y",4,NA,6,2.95,0.015054251775805,0.491666666666667,"current",6,6
"24","11.2.3","2",3,11,"y",4,NA,24,5.36,0.00634614662315212,0.223333333333333,"current",24,24
"25","11.2.4","2",4,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"26","11.2.4","2",4,11,"y",4,NA,6,2.72,0.0197507711004817,0.453333333333333,"current",6,6
"27","11.2.4","2",4,11,"y",4,NA,24,3.97,0.00682199901958983,0.165416666666667,"current",24,24
"28","11.5.1","5",1,11,"y",4,NA,0,0,NA,NA,"current",0,NA
"29","11.5.1","5",1,11,"y",4,NA,6,2.79,0.0174862683699878,0.465,"current",6,6
"30","11.5.1","5",1,11,"y",4,NA,24,6.84,0.0092791100517336,0.285,"current",24,24
"31","17.1.6","1",6,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"32","17.1.6","1",6,17,"y",4,NA,6,1.79,0.0126417224560908,0.298333333333333,"current",6,6
"33","17.1.6","1",6,17,"y",4,NA,24,6.18,0.00915861476144191,0.2575,"current",24,24
"34","17.1.7","1",7,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"35","17.1.7","1",7,17,"y",4,NA,6,3.01,0.0120951420566408,0.501666666666666,"current",6,6
"36","17.1.7","1",7,17,"y",4,NA,24,15.39,0.0118973714037803,0.64125,"current",24,24
"37","17.1.8","1",8,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"38","17.1.8","1",8,17,"y",4,NA,6,2.77,0.0127916533324682,0.461666666666667,"current",6,6
"39","17.1.8","1",8,17,"y",4,NA,24,12.57,0.0113960870668777,0.52375,"current",24,24
"40","17.1.9","1",9,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"41","17.1.9","1",9,17,"y",4,NA,6,3.67,0.024320909533682,0.611666666666667,"current",6,6
"42","17.1.9","1",9,17,"y",4,NA,24,11.22,0.014438645555415,0.4675,"current",24,24
"43","17.1.10","1",10,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"44","17.1.10","1",10,17,"y",4,NA,6,3.88,0.019296800876383,0.646666666666667,"current",6,6
"45","17.1.10","1",10,17,"y",4,NA,24,15.05,0.0141441361042808,0.627083333333333,"current",24,24
"46","17.4.1","4",1,17,"y",4,NA,0,0,NA,NA,"current",0,NA
"47","17.4.1","4",1,17,"y",4,NA,6,5.89,0.0288651863637185,0.981666666666667,"current",6,6
"48","17.4.1","4",1,17,"y",4,NA,24,16.15,0.0154117658049605,0.672916666666667,"current",24,24
