Rownum,Species,Popn,Year,UniID,mom,ID,temp,date,Jdate,Mo,Mi,iw,fw,active,instar,time,t.in,t.out,duration,mgain
1,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36376,216,11.45,11.45,11.45,11.45,yes,4th,0,10.05,10.05,0,0
2,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36376,216,11.45,12.76,11.45,12.76,yes,4th,9.466666667,10.05,19.33,9.466666667,1.31
3,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36377,217,11.45,14.19,12.76,14.19,yes,4th,24.5,19.33,10.35,15.03333333,1.43
4,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36377,217,11.45,14.25,14.19,14.25,no,4th,32.21666667,10.35,18.18,7.716666667,0.06
5,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36378,218,11.45,16.44,14.25,16.44,yes,4th,55.61666667,18.18,17.42,23.4,2.19
6,Pieris_rapae,Seattle_WA,1999,11.0.1,0,1,11,36379,219,11.45,19.1,16.44,19.1,yes,4th,79.41666667,17.42,17.3,23.8,2.66
7,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36376,216,9.53,9.53,9.53,9.53,yes,4th,0,10.05,10.05,0,0
8,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36376,216,9.53,9.97,9.53,9.97,yes,4th,9.466666667,10.05,19.33,9.466666667,0.44
9,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36377,217,9.53,12.31,9.97,12.31,yes,4th,24.5,19.33,10.35,15.03333333,2.34
10,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36377,217,9.53,13.16,12.31,13.16,yes,4th,32.21666667,10.35,18.18,7.716666667,0.85
11,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36378,218,9.53,15.61,13.16,15.61,yes,4th,55.61666667,18.18,17.42,23.4,2.45
12,Pieris_rapae,Seattle_WA,1999,11.0.2,0,2,11,36379,219,9.53,18.04,15.61,18.04,yes,4th,79.41666667,17.42,17.3,23.8,2.43
13,Pieris_rapae,Seattle_WA,1999,11.4.1,4,1,11,36376,216,12.32,12.32,12.32,12.32,yes,4th,0,10.05,10.05,0,0
