Rownum,Species,Popn,Year,UniID,mom,ID,Temp,date,Jdate,M0,Mi,iw,fw,active,instar,time,t.in,t.out,duration,mgain
1,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36511,351,42.25,42.25,42.25,42.25,yes,5th,0,9.12,9.12,0,0
2,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36511,351,42.25,42.25,42.25,52.31,yes,5th,8.483333333,9.12,17.41,8.483333333,10.06
3,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36512,352,42.25,52.31,52.31,63.86,yes,5th,23.05,17.41,8.15,14.56666667,11.55
4,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36512,352,42.25,63.86,63.86,63.7,yes,5th,31.36666667,8.15,16.34,8.316666667,-0.16
5,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36513,353,42.25,63.7,63.7,72.05,yes,5th,47.85,16.34,9.03,16.48333333,8.35
6,Pieris_rapae,Seattle_WA,1999,11C.M0.1,0,1,11,36514,354,42.25,72.05,72.05,85.1,yes,5th,80.41666667,9.03,17.37,32.56666667,13.05
7,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36511,351,56.52,56.52,56.52,56.52,yes,5th,0,9.12,9.12,0,0
8,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36511,351,56.52,56.52,56.52,59.86,yes,5th,8.483333333,9.12,17.41,8.483333333,3.34
9,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36512,352,56.52,59.86,59.86,70.7,yes,5th,23.05,17.41,8.15,14.56666667,10.84
10,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36512,352,56.52,70.7,70.7,73.39,yes,5th,31.36666667,8.15,16.34,8.316666667,2.69
11,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36513,353,56.52,73.39,73.39,84.95,yes,5th,47.85,16.34,9.03,16.48333333,11.56
12,Pieris_rapae,Seattle_WA,1999,11C.M0.10,0,10,11,36514,354,56.52,84.95,84.95,100.14,yes,5th,80.41666667,9.03,17.37,32.56666667,15.19
13,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36511,351,40.42,40.42,40.42,40.42,yes,5th,0,9.12,9.12,0,0
14,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36511,351,40.42,40.42,40.42,43.93,yes,5th,8.483333333,9.12,17.41,8.483333333,3.51
15,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36512,352,40.42,43.93,43.93,54.6,yes,5th,23.05,17.41,8.15,14.56666667,10.67
16,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36512,352,40.42,54.6,54.6,56.56,yes,5th,31.36666667,8.15,16.34,8.316666667,1.96
17,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36513,353,40.42,56.56,56.56,64.54,yes,5th,47.85,16.34,9.03,16.48333333,7.98
18,Pieris_rapae,Seattle_WA,1999,11C.M0.11,0,11,11,36514,354,40.42,64.54,64.54,74.64,yes,5th,80.41666667,9.03,17.37,32.56666667,10.1
19,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36511,351,52.44,52.44,52.44,52.44,yes,5th,0,9.12,9.12,0,0
20,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36511,351,52.44,52.44,52.44,54.92,yes,5th,8.483333333,9.12,17.41,8.483333333,2.48
21,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36512,352,52.44,54.92,54.92,61.13,yes,5th,23.05,17.41,8.15,14.56666667,6.21
22,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36512,352,52.44,61.13,61.13,60.49,yes,5th,31.36666667,8.15,16.34,8.316666667,-0.64
23,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36513,353,52.44,60.49,60.49,60.36,yes,5th,47.85,16.34,9.03,16.48333333,-0.13
24,Pieris_rapae,Seattle_WA,1999,11C.M0.12,0,12,11,36514,354,52.44,60.36,60.36,59.15,no,5th,80.41666667,9.03,17.37,32.56666667,-1.21
25,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36511,351,49.47,49.47,49.47,49.47,yes,5th,0,9.12,9.12,0,0
26,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36511,351,49.47,49.47,49.47,53.12,yes,5th,8.483333333,9.12,17.41,8.483333333,3.65
27,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36512,352,49.47,53.12,53.12,58.5,yes,5th,23.05,17.41,8.15,14.56666667,5.38
28,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36512,352,49.47,58.5,58.5,65.18,yes,5th,31.36666667,8.15,16.34,8.316666667,6.68
29,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36513,353,49.47,65.18,65.18,71.63,yes,5th,47.85,16.34,9.03,16.48333333,6.45
30,Pieris_rapae,Seattle_WA,1999,11C.M0.13,0,13,11,36514,354,49.47,71.63,71.63,96.44,yes,5th,80.41666667,9.03,17.37,32.56666667,24.81
31,Pieris_rapae,Seattle_WA,1999,11C.M0.14,0,14,11,36511,351,52.72,52.72,52.72,52.72,yes,5th,0,9.12,9.12,0,0
